,用户,时间,数量,金额,月份
52583,17384,1997-03-03,7,89.18,1997-03-01
52584,17385,1997-03-03,3,40.11,1997-03-01
52585,17386,1997-03-03,4,89.69,1997-03-01
52586,17386,1997-04-09,5,56.43,1997-04-01
52587,17387,1997-03-03,1,11.77,1997-03-01
52588,17388,1997-03-08,7,97.54,1997-03-01
52589,17388,1997-05-02,5,73.81,1997-05-01
52590,17389,1997-03-04,4,45.08,1997-03-01
52591,17389,1997-04-07,4,84.96,1997-04-01
52592,17390,1997-03-03,1,9.97,1997-03-01
52593,17390,1997-06-25,1,15.36,1997-06-01
52594,17391,1997-03-03,2,19.94,1997-03-01
52595,17391,1997-03-21,3,39.91,1997-03-01
52596,17391,1997-05-05,2,23.54,1997-05-01
52597,17391,1997-06-16,2,28.93,1997-06-01
52598,17391,1997-06-24,1,11.77,1997-06-01
52599,17391,1997-07-24,1,11.77,1997-07-01
52600,17391,1997-07-25,1,14.96,1997-07-01
52601,17391,1997-07-26,4,50.68,1997-07-01
52602,17391,1997-07-27,1,14.99,1997-07-01
52603,17391,1997-09-05,1,19.99,1997-09-01
52604,17391,1997-10-19,2,33.98,1997-10-01
52605,17391,1998-01-21,2,38.98,1998-01-01
52606,17391,1998-04-21,1,30.99,1998-04-01
52607,17391,1998-04-26,4,77.96,1998-04-01
52608,17391,1998-05-18,2,46.98,1998-05-01
52609,17392,1997-03-03,1,10.77,1997-03-01
52610,17393,1997-03-03,1,17.3,1997-03-01
52611,17394,1997-03-03,3,46.52,1997-03-01
52612,17394,1997-07-04,2,23.75,1997-07-01
52613,17394,1997-11-18,2,20.98,1997-11-01
52614,17394,1998-05-03,3,24.17,1998-05-01
52615,17394,1998-06-23,2,22.98,1998-06-01
52616,17395,1997-03-05,5,66.25,1997-03-01
52617,17395,1997-12-22,4,56.46,1997-12-01
52618,17395,1998-05-22,3,40.36,1998-05-01
52619,17396,1997-03-07,4,56.68,1997-03-01
52620,17396,1997-06-04,2,59.54,1997-06-01
52621,17397,1997-03-03,3,41.69,1997-03-01
52622,17398,1997-03-03,2,27.74,1997-03-01
52623,17398,1997-04-06,3,83.9,1997-04-01
52624,17398,1997-09-23,2,28.98,1997-09-01
52625,17398,1997-09-27,2,29.48,1997-09-01
52626,17399,1997-03-03,2,31.52,1997-03-01
52627,17400,1997-03-03,1,13.97,1997-03-01
52628,17400,1997-03-11,1,13.99,1997-03-01
52629,17401,1997-03-03,1,17.3,1997-03-01
52630,17401,1997-05-22,1,35.28,1997-05-01
52631,17402,1997-03-03,2,30.78,1997-03-01
52632,17403,1997-03-03,4,56.46,1997-03-01
52633,17403,1997-03-14,6,105.86,1997-03-01
52634,17403,1997-04-01,1,15.36,1997-04-01
52635,17403,1997-05-11,1,15.76,1997-05-01
52636,17403,1997-05-13,1,14.96,1997-05-01
52637,17403,1997-05-20,1,18.36,1997-05-01
52638,17404,1997-03-03,2,25.74,1997-03-01
52639,17405,1997-03-03,2,26.73,1997-03-01
52640,17405,1997-04-07,5,77.86,1997-04-01
52641,17405,1998-04-08,3,46.36,1998-04-01
52642,17406,1997-03-03,6,88.25,1997-03-01
52643,17407,1997-03-08,4,70.87,1997-03-01
52644,17407,1997-03-16,7,87.39,1997-03-01
52645,17407,1997-03-21,1,23.77,1997-03-01
52646,17407,1997-03-24,2,23.54,1997-03-01
52647,17408,1997-03-03,1,29.77,1997-03-01
52648,17409,1997-03-03,3,46.08,1997-03-01
52649,17410,1997-03-03,1,11.77,1997-03-01
52650,17410,1997-08-01,1,15.36,1997-08-01
52651,17411,1997-03-03,4,51.47,1997-03-01
52652,17412,1997-03-03,1,11.77,1997-03-01
52653,17412,1997-03-15,2,25.14,1997-03-01
52654,17412,1997-03-28,1,14.96,1997-03-01
52655,17412,1997-03-31,1,11.77,1997-03-01
52656,17412,1997-04-26,1,14.99,1997-04-01
52657,17412,1998-03-09,3,34.86,1998-03-01
52658,17413,1997-03-03,4,52.42,1997-03-01
52659,17414,1997-03-03,2,42.75,1997-03-01
52660,17415,1997-03-03,2,52.74,1997-03-01
52661,17416,1997-03-03,2,21.76,1997-03-01
52662,17417,1997-03-03,1,14.37,1997-03-01
52663,17418,1997-03-03,4,68.24,1997-03-01
52664,17419,1997-03-03,3,60.5,1997-03-01
52665,17419,1997-04-17,4,51.43,1997-04-01
52666,17419,1997-05-12,1,14.9,1997-05-01
52667,17419,1997-05-25,2,25.4,1997-05-01
52668,17420,1997-03-03,2,29.33,1997-03-01
52669,17421,1997-03-03,3,32.53,1997-03-01
52670,17421,1997-04-07,2,34.76,1997-04-01
52671,17421,1997-04-10,1,9.77,1997-04-01
52672,17421,1997-05-07,3,78.1,1997-05-01
52673,17421,1997-06-30,1,9.99,1997-06-01
52674,17421,1997-07-28,2,79.79,1997-07-01
52675,17421,1997-07-29,8,114.92,1997-07-01
52676,17421,1997-08-06,1,31.03,1997-08-01
52677,17421,1998-02-06,4,47.35,1998-02-01
52678,17421,1998-03-07,5,229.13,1998-03-01
52679,17421,1998-05-15,5,83.45,1998-05-01
52680,17422,1997-03-03,2,31.33,1997-03-01
52681,17423,1997-03-03,2,15.95,1997-03-01
52682,17423,1997-03-15,3,40.92,1997-03-01
52683,17423,1997-04-11,4,49.9,1997-04-01
52684,17423,1997-07-23,2,28.74,1997-07-01
52685,17423,1997-09-07,1,9.97,1997-09-01
52686,17423,1997-09-23,1,9.49,1997-09-01
52687,17423,1998-03-30,5,55.95,1998-03-01
52688,17424,1997-03-03,4,55.87,1997-03-01
52689,17424,1997-06-28,2,28.13,1997-06-01
52690,17425,1997-03-03,1,11.77,1997-03-01
52691,17425,1997-06-17,1,13.97,1997-06-01
52692,17425,1997-07-29,2,20.54,1997-07-01
52693,17425,1998-02-06,1,9.49,1998-02-01
52694,17425,1998-02-25,1,11.88,1998-02-01
52695,17425,1998-03-17,1,12.58,1998-03-01
52696,17425,1998-06-04,1,11.49,1998-06-01
52697,17426,1997-03-03,3,40.11,1997-03-01
52698,17426,1997-04-05,1,15.36,1997-04-01
52699,17427,1997-03-03,3,39.11,1997-03-01
52700,17427,1997-03-04,3,44.29,1997-03-01
52701,17427,1997-04-10,5,33.85,1997-04-01
52702,17427,1997-04-23,1,6.77,1997-04-01
52703,17427,1997-05-06,1,14.99,1997-05-01
52704,17428,1997-03-03,2,27.85,1997-03-01
52705,17429,1997-03-03,5,73.67,1997-03-01
52706,17430,1997-03-03,2,21.54,1997-03-01
52707,17430,1997-06-02,3,39.91,1997-06-01
52708,17430,1998-06-16,1,9.99,1998-06-01
52709,17431,1997-03-03,1,13.97,1997-03-01
52710,17432,1997-03-03,1,9.98,1997-03-01
52711,17432,1998-03-12,2,24.48,1998-03-01
52712,17433,1997-03-03,1,49.99,1997-03-01
52713,17434,1997-03-03,1,13.97,1997-03-01
52714,17434,1997-09-21,1,16.99,1997-09-01
52715,17434,1998-02-21,2,25.98,1998-02-01
52716,17435,1997-03-03,1,14.37,1997-03-01
52717,17436,1997-03-03,1,14.37,1997-03-01
52718,17437,1997-03-03,3,37.91,1997-03-01
52719,17437,1997-05-29,3,34.31,1997-05-01
52720,17437,1997-06-18,3,44.3,1997-06-01
52721,17437,1997-06-25,4,49.47,1997-06-01
52722,17437,1998-05-31,1,21.49,1998-05-01
52723,17438,1997-03-03,1,29.37,1997-03-01
52724,17438,1997-11-07,1,4.49,1997-11-01
52725,17438,1998-05-26,1,14.42,1998-05-01
52726,17438,1998-06-21,6,77.22,1998-06-01
52727,17439,1997-03-05,4,49.68,1997-03-01
52728,17439,1997-04-02,4,55.66,1997-04-01
52729,17440,1997-03-03,2,38.74,1997-03-01
52730,17440,1997-03-07,3,43.69,1997-03-01
52731,17440,1997-03-29,1,13.97,1997-03-01
52732,17440,1997-10-03,5,78.95,1997-10-01
52733,17441,1997-03-03,1,11.77,1997-03-01
52734,17441,1997-04-18,2,21.54,1997-04-01
52735,17442,1997-03-03,1,15.36,1997-03-01
52736,17442,1997-07-16,1,12.97,1997-07-01
52737,17443,1997-03-03,2,41.98,1997-03-01
52738,17444,1997-03-03,2,22.15,1997-03-01
52739,17445,1997-03-03,1,69.99,1997-03-01
52740,17445,1997-07-05,1,46.53,1997-07-01
52741,17445,1998-01-07,3,88.47,1998-01-01
52742,17445,1998-01-09,2,68.98,1998-01-01
52743,17445,1998-02-04,3,103.47,1998-02-01
52744,17445,1998-02-19,3,103.47,1998-02-01
52745,17445,1998-02-23,3,103.47,1998-02-01
52746,17445,1998-03-03,3,67.47,1998-03-01
52747,17445,1998-03-19,2,68.98,1998-03-01
52748,17445,1998-03-29,1,64.99,1998-03-01
52749,17445,1998-04-14,2,68.98,1998-04-01
52750,17445,1998-05-14,2,68.98,1998-05-01
52751,17445,1998-06-05,1,34.49,1998-06-01
52752,17445,1998-06-16,2,68.98,1998-06-01
52753,17446,1997-03-03,1,5.78,1997-03-01
52754,17446,1997-03-12,1,5.78,1997-03-01
52755,17447,1997-03-05,1,14.37,1997-03-01
52756,17448,1997-03-12,1,19.99,1997-03-01
52757,17448,1997-11-23,2,26.98,1997-11-01
52758,17448,1998-03-18,1,51.08,1998-03-01
52759,17449,1997-03-03,1,27.99,1997-03-01
52760,17450,1997-03-03,1,38.99,1997-03-01
52761,17450,1997-05-21,1,7.53,1997-05-01
52762,17451,1997-03-03,1,17.3,1997-03-01
52763,17451,1997-03-17,1,9.98,1997-03-01
52764,17451,1997-03-18,1,17.3,1997-03-01
52765,17452,1997-03-03,4,54.43,1997-03-01
52766,17453,1997-03-03,4,68.67,1997-03-01
52767,17453,1997-04-27,2,30.32,1997-04-01
52768,17453,1997-08-07,2,23.54,1997-08-01
52769,17453,1997-09-01,1,19.99,1997-09-01
52770,17453,1998-06-10,1,34.49,1998-06-01
52771,17454,1997-03-03,1,11.77,1997-03-01
52772,17454,1997-11-11,3,38.97,1997-11-01
52773,17454,1998-04-11,3,37.86,1998-04-01
52774,17455,1997-03-03,2,28.48,1997-03-01
52775,17456,1997-03-03,6,73.22,1997-03-01
52776,17457,1997-03-03,2,19.75,1997-03-01
52777,17457,1997-06-10,1,14.96,1997-06-01
52778,17457,1997-09-11,2,27.48,1997-09-01
52779,17457,1997-12-31,1,14.49,1997-12-01
52780,17457,1998-03-28,3,30.97,1998-03-01
52781,17458,1997-03-03,1,12.77,1997-03-01
52782,17458,1997-03-03,1,14.96,1997-03-01
52783,17458,1997-04-21,1,12.77,1997-04-01
52784,17458,1997-07-03,4,51.32,1997-07-01
52785,17458,1997-08-11,1,21.0,1997-08-01
52786,17458,1998-03-22,5,68.95,1998-03-01
52787,17458,1998-06-24,2,30.98,1998-06-01
52788,17459,1997-03-03,1,8.97,1997-03-01
52789,17460,1997-03-03,1,12.77,1997-03-01
52790,17460,1997-06-24,1,14.96,1997-06-01
52791,17461,1997-03-03,1,12.77,1997-03-01
52792,17462,1997-03-03,1,4.79,1997-03-01
52793,17463,1997-03-03,4,55.96,1997-03-01
52794,17463,1997-03-16,9,112.15,1997-03-01
52795,17463,1997-04-12,11,142.75,1997-04-01
52796,17463,1997-04-12,1,12.79,1997-04-01
52797,17463,1997-04-23,4,68.46,1997-04-01
52798,17463,1997-06-05,7,95.13,1997-06-01
52799,17463,1997-06-18,1,9.97,1997-06-01
52800,17463,1997-07-03,3,44.23,1997-07-01
52801,17463,1997-07-10,6,95.95,1997-07-01
52802,17463,1997-07-18,9,117.72,1997-07-01
52803,17463,1997-07-18,2,23.54,1997-07-01
52804,17463,1997-08-18,3,40.91,1997-08-01
52805,17463,1997-10-24,8,99.42,1997-10-01
52806,17463,1998-01-11,3,26.97,1998-01-01
52807,17463,1998-04-13,4,34.46,1998-04-01
52808,17464,1997-03-03,1,15.96,1997-03-01
52809,17465,1997-03-03,1,19.98,1997-03-01
52810,17465,1998-06-18,1,9.49,1998-06-01
52811,17466,1997-03-03,2,26.73,1997-03-01
52812,17467,1997-03-03,1,14.96,1997-03-01
52813,17468,1997-03-03,1,8.99,1997-03-01
52814,17468,1997-03-17,2,39.78,1997-03-01
52815,17468,1998-04-08,2,23.48,1998-04-01
52816,17469,1997-03-03,1,11.77,1997-03-01
52817,17470,1997-03-03,3,34.31,1997-03-01
52818,17471,1997-03-03,1,21.99,1997-03-01
52819,17472,1997-03-03,3,50.69,1997-03-01
52820,17473,1997-03-13,1,15.36,1997-03-01
52821,17473,1997-10-08,1,11.99,1997-10-01
52822,17474,1997-03-03,6,77.24,1997-03-01
52823,17475,1997-03-03,1,11.77,1997-03-01
52824,17476,1997-03-03,1,6.79,1997-03-01
52825,17477,1997-03-03,6,87.22,1997-03-01
52826,17477,1997-03-04,1,14.37,1997-03-01
52827,17477,1997-03-23,3,45.29,1997-03-01
52828,17477,1997-03-23,2,79.98,1997-03-01
52829,17477,1997-03-24,2,196.98,1997-03-01
52830,17477,1997-03-31,4,56.65,1997-03-01
52831,17477,1997-04-05,1,14.96,1997-04-01
52832,17477,1997-04-05,1,14.96,1997-04-01
52833,17477,1997-06-04,3,44.29,1997-06-01
52834,17477,1997-06-30,3,45.88,1997-06-01
52835,17477,1997-07-20,3,45.69,1997-07-01
52836,17477,1997-07-23,8,144.92,1997-07-01
52837,17477,1997-07-24,1,96.99,1997-07-01
52838,17477,1997-08-14,12,178.56,1997-08-01
52839,17477,1997-09-15,5,69.95,1997-09-01
52840,17477,1998-01-23,2,29.48,1998-01-01
52841,17477,1998-03-05,3,81.97,1998-03-01
52842,17478,1997-03-03,1,9.98,1997-03-01
52843,17479,1997-03-03,1,14.37,1997-03-01
52844,17479,1998-02-11,4,42.46,1998-02-01
52845,17480,1997-03-03,1,38.99,1997-03-01
52846,17480,1997-06-20,1,14.96,1997-06-01
52847,17480,1997-06-20,1,20.97,1997-06-01
52848,17480,1997-07-30,1,16.65,1997-07-01
52849,17481,1997-03-25,2,28.34,1997-03-01
52850,17481,1997-04-10,1,13.97,1997-04-01
52851,17481,1997-04-30,1,14.96,1997-04-01
52852,17482,1997-03-03,1,15.36,1997-03-01
52853,17482,1997-04-07,1,13.97,1997-04-01
52854,17482,1997-04-13,2,41.74,1997-04-01
52855,17482,1997-06-06,4,63.07,1997-06-01
52856,17482,1997-06-23,2,35.93,1997-06-01
52857,17482,1997-07-13,2,37.14,1997-07-01
52858,17482,1997-08-11,2,26.73,1997-08-01
52859,17482,1997-09-02,1,18.36,1997-09-01
52860,17482,1997-09-03,1,27.77,1997-09-01
52861,17482,1997-09-19,2,24.48,1997-09-01
52862,17482,1997-10-27,2,26.98,1997-10-01
52863,17482,1997-11-13,2,25.48,1997-11-01
52864,17482,1997-12-05,3,94.47,1997-12-01
52865,17482,1997-12-08,4,71.46,1997-12-01
52866,17482,1997-12-11,1,12.99,1997-12-01
52867,17482,1997-12-16,1,8.49,1997-12-01
52868,17482,1997-12-17,2,42.98,1997-12-01
52869,17482,1998-02-18,1,29.99,1998-02-01
52870,17482,1998-03-27,1,12.99,1998-03-01
52871,17482,1998-03-31,3,66.47,1998-03-01
52872,17482,1998-04-01,1,15.49,1998-04-01
52873,17482,1998-04-27,2,27.57,1998-04-01
52874,17482,1998-05-27,1,13.57,1998-05-01
52875,17482,1998-06-25,3,41.55,1998-06-01
52876,17483,1997-03-03,2,28.93,1997-03-01
52877,17484,1997-03-03,3,44.37,1997-03-01
52878,17484,1997-03-09,6,86.38,1997-03-01
52879,17484,1997-03-12,4,63.87,1997-03-01
52880,17485,1997-03-03,1,26.99,1997-03-01
52881,17485,1997-04-24,1,26.99,1997-04-01
52882,17486,1997-03-03,1,14.96,1997-03-01
52883,17487,1997-03-03,1,11.97,1997-03-01
52884,17487,1997-04-11,1,13.97,1997-04-01
52885,17487,1997-04-15,1,14.96,1997-04-01
52886,17487,1997-10-06,2,23.98,1997-10-01
52887,17488,1997-03-04,1,13.97,1997-03-01
52888,17488,1997-03-10,1,9.77,1997-03-01
52889,17488,1997-12-12,1,14.99,1997-12-01
52890,17488,1998-06-23,2,21.98,1998-06-01
52891,17489,1997-03-03,1,25.37,1997-03-01
52892,17490,1997-03-03,4,58.66,1997-03-01
52893,17490,1997-04-11,2,28.98,1997-04-01
52894,17490,1997-06-29,3,60.95,1997-06-01
52895,17491,1997-03-03,1,12.77,1997-03-01
52896,17492,1997-03-03,1,14.96,1997-03-01
52897,17492,1997-03-25,4,43.5,1997-03-01
52898,17492,1997-05-04,1,38.77,1997-05-01
52899,17493,1997-03-04,1,19.99,1997-03-01
52900,17493,1997-03-12,1,13.77,1997-03-01
52901,17493,1997-03-24,1,10.97,1997-03-01
52902,17493,1997-04-14,1,19.99,1997-04-01
52903,17493,1997-05-12,2,23.74,1997-05-01
52904,17493,1997-06-16,1,31.03,1997-06-01
52905,17493,1997-07-30,1,18.1,1997-07-01
52906,17493,1997-10-13,1,59.49,1997-10-01
52907,17493,1998-05-12,1,12.99,1998-05-01
52908,17494,1997-03-03,2,30.72,1997-03-01
52909,17495,1997-03-03,3,35.31,1997-03-01
52910,17495,1997-04-10,2,25.54,1997-04-01
52911,17496,1997-03-03,2,24.98,1997-03-01
52912,17496,1997-03-23,2,24.98,1997-03-01
52913,17496,1997-06-26,2,24.49,1997-06-01
52914,17496,1997-12-05,1,12.49,1997-12-01
52915,17496,1997-12-15,1,13.99,1997-12-01
52916,17496,1998-06-25,3,23.86,1998-06-01
52917,17497,1997-03-03,1,12.49,1997-03-01
52918,17498,1997-03-03,1,27.0,1997-03-01
52919,17499,1997-03-03,1,17.99,1997-03-01
52920,17499,1998-02-16,2,22.98,1998-02-01
52921,17500,1997-03-03,1,13.97,1997-03-01
52922,17501,1997-03-03,1,9.97,1997-03-01
52923,17502,1997-03-13,4,53.92,1997-03-01
52924,17502,1997-05-06,8,116.46,1997-05-01
52925,17502,1997-09-13,8,120.42,1997-09-01
52926,17503,1997-03-03,4,53.68,1997-03-01
52927,17503,1997-03-18,1,11.77,1997-03-01
52928,17503,1998-05-01,1,11.88,1998-05-01
52929,17504,1997-03-22,3,38.9,1997-03-01
52930,17505,1997-03-03,1,39.37,1997-03-01
52931,17505,1997-04-06,1,11.77,1997-04-01
52932,17505,1997-06-13,1,14.37,1997-06-01
52933,17505,1997-11-13,3,43.97,1997-11-01
52934,17505,1998-02-06,1,14.49,1998-02-01
52935,17505,1998-06-29,2,30.98,1998-06-01
52936,17506,1997-03-03,1,14.37,1997-03-01
52937,17506,1997-03-09,1,24.99,1997-03-01
52938,17506,1997-03-25,1,12.97,1997-03-01
52939,17506,1997-05-12,1,8.77,1997-05-01
52940,17506,1997-05-13,1,24.99,1997-05-01
52941,17506,1997-06-23,1,17.96,1997-06-01
52942,17506,1997-11-30,1,15.49,1997-11-01
52943,17507,1997-03-03,1,18.99,1997-03-01
52944,17508,1997-03-03,1,14.9,1997-03-01
52945,17508,1998-03-13,1,15.49,1998-03-01
52946,17509,1997-03-09,3,67.11,1997-03-01
52947,17509,1997-09-30,1,12.49,1997-09-01
52948,17509,1997-12-11,1,12.99,1997-12-01
52949,17509,1998-03-17,3,33.98,1998-03-01
52950,17510,1997-03-03,1,15.3,1997-03-01
52951,17511,1997-03-06,1,14.99,1997-03-01
52952,17511,1997-04-11,1,14.99,1997-04-01
52953,17511,1997-05-22,2,29.98,1997-05-01
52954,17511,1997-06-25,2,29.98,1997-06-01
52955,17511,1997-08-03,1,12.25,1997-08-01
52956,17511,1997-09-08,2,29.73,1997-09-01
52957,17511,1997-09-26,1,12.99,1997-09-01
52958,17511,1997-10-16,2,35.48,1997-10-01
52959,17511,1998-03-04,1,7.49,1998-03-01
52960,17511,1998-03-18,1,26.99,1998-03-01
52961,17511,1998-05-14,1,12.99,1998-05-01
52962,17512,1997-03-21,1,15.36,1997-03-01
52963,17512,1997-10-15,1,12.99,1997-10-01
52964,17512,1997-10-17,1,14.49,1997-10-01
52965,17513,1997-03-03,1,12.99,1997-03-01
52966,17513,1997-08-22,1,15.9,1997-08-01
52967,17514,1997-03-03,1,14.99,1997-03-01
52968,17515,1997-03-03,1,8.97,1997-03-01
52969,17515,1998-05-17,2,18.48,1998-05-01
52970,17516,1997-03-07,1,10.77,1997-03-01
52971,17516,1997-04-04,2,25.73,1997-04-01
52972,17516,1997-04-17,2,23.54,1997-04-01
52973,17516,1997-05-01,1,14.96,1997-05-01
52974,17517,1997-03-04,1,15.96,1997-03-01
52975,17518,1997-03-03,3,37.47,1997-03-01
52976,17518,1998-01-20,1,12.49,1998-01-01
52977,17518,1998-03-02,1,35.49,1998-03-01
52978,17519,1997-03-03,1,10.78,1997-03-01
52979,17519,1997-03-13,1,15.96,1997-03-01
52980,17519,1997-04-10,2,28.93,1997-04-01
52981,17519,1997-08-03,5,71.87,1997-08-01
52982,17519,1998-03-02,10,160.21,1998-03-01
52983,17520,1997-03-03,1,19.99,1997-03-01
52984,17520,1997-08-03,2,14.77,1997-08-01
52985,17520,1997-10-13,1,9.99,1997-10-01
52986,17521,1997-03-04,5,80.26,1997-03-01
52987,17521,1997-10-26,3,47.97,1997-10-01
52988,17521,1998-04-13,1,21.49,1998-04-01
52989,17522,1997-03-03,3,34.12,1997-03-01
52990,17523,1997-03-03,7,95.03,1997-03-01
52991,17523,1997-03-07,5,59.25,1997-03-01
52992,17523,1997-03-19,8,205.15,1997-03-01
52993,17523,1997-04-03,11,155.07,1997-04-01
52994,17523,1997-07-23,15,384.53,1997-07-01
52995,17523,1997-08-04,19,296.33,1997-08-01
52996,17523,1997-10-23,5,95.95,1997-10-01
52997,17523,1997-11-06,8,108.42,1997-11-01
52998,17523,1997-11-06,3,90.47,1997-11-01
52999,17523,1997-11-10,6,161.44,1997-11-01
53000,17523,1997-11-30,4,127.96,1997-11-01
53001,17523,1997-12-12,4,61.96,1997-12-01
53002,17523,1998-01-20,2,26.48,1998-01-01
53003,17523,1998-02-23,4,44.73,1998-02-01
53004,17523,1998-02-25,6,178.94,1998-02-01
53005,17523,1998-03-04,5,65.93,1998-03-01
53006,17523,1998-03-27,6,122.44,1998-03-01
53007,17524,1997-03-03,4,67.49,1997-03-01
53008,17524,1997-12-11,1,13.99,1997-12-01
53009,17525,1997-03-03,3,46.08,1997-03-01
53010,17526,1997-03-03,2,23.95,1997-03-01
53011,17527,1997-03-03,2,28.13,1997-03-01
53012,17527,1997-05-07,12,153.44,1997-05-01
53013,17528,1997-03-03,1,35.37,1997-03-01
53014,17528,1997-06-04,1,11.77,1997-06-01
53015,17528,1997-06-11,1,55.77,1997-06-01
53016,17528,1997-06-14,3,44.31,1997-06-01
53017,17528,1997-06-27,3,38.5,1997-06-01
53018,17528,1997-10-16,2,30.98,1997-10-01
53019,17528,1997-11-20,3,42.97,1997-11-01
53020,17528,1997-11-20,1,12.99,1997-11-01
53021,17528,1998-03-05,1,14.99,1998-03-01
53022,17529,1997-03-03,5,68.06,1997-03-01
53023,17529,1997-04-16,4,52.5,1997-04-01
53024,17530,1997-03-03,5,55.27,1997-03-01
53025,17530,1997-03-18,4,116.47,1997-03-01
53026,17530,1998-02-05,2,41.87,1998-02-01
53027,17531,1997-03-03,1,14.79,1997-03-01
53028,17532,1997-03-04,2,19.35,1997-03-01
53029,17532,1998-01-15,2,44.98,1998-01-01
53030,17532,1998-01-15,1,13.99,1998-01-01
53031,17533,1997-03-03,1,10.77,1997-03-01
53032,17534,1997-03-03,3,46.04,1997-03-01
53033,17535,1997-03-03,6,75.97,1997-03-01
53034,17536,1997-03-10,2,24.74,1997-03-01
53035,17536,1997-03-15,3,23.76,1997-03-01
53036,17537,1997-03-03,1,14.96,1997-03-01
53037,17537,1997-07-04,3,40.11,1997-07-01
53038,17538,1997-03-03,2,23.54,1997-03-01
53039,17539,1997-03-03,2,28.14,1997-03-01
53040,17540,1997-03-03,2,25.26,1997-03-01
53041,17541,1997-03-03,2,19.55,1997-03-01
53042,17541,1997-09-08,2,29.16,1997-09-01
53043,17542,1997-03-03,1,21.99,1997-03-01
53044,17542,1997-09-15,1,29.49,1997-09-01
53045,17542,1998-04-27,1,23.99,1998-04-01
53046,17543,1997-03-03,3,35.31,1997-03-01
53047,17543,1997-03-14,3,35.31,1997-03-01
53048,17544,1997-03-03,1,14.9,1997-03-01
53049,17545,1997-03-03,2,40.2,1997-03-01
53050,17546,1997-03-18,3,42.81,1997-03-01
53051,17547,1997-03-03,1,12.97,1997-03-01
53052,17548,1997-03-03,3,44.69,1997-03-01
53053,17549,1997-03-03,1,12.49,1997-03-01
53054,17550,1997-03-03,1,10.97,1997-03-01
53055,17551,1997-03-03,2,61.76,1997-03-01
53056,17552,1997-03-03,2,21.54,1997-03-01
53057,17552,1997-07-28,1,35.77,1997-07-01
53058,17552,1998-06-30,1,15.49,1998-06-01
53059,17553,1997-03-03,1,12.77,1997-03-01
53060,17554,1997-03-09,1,15.96,1997-03-01
53061,17555,1997-03-03,1,15.36,1997-03-01
53062,17556,1997-03-03,1,9.77,1997-03-01
53063,17557,1997-03-03,1,14.79,1997-03-01
53064,17557,1997-05-09,1,9.77,1997-05-01
53065,17558,1997-03-03,1,11.77,1997-03-01
53066,17558,1997-05-29,1,8.77,1997-05-01
53067,17559,1997-03-03,5,63.29,1997-03-01
53068,17559,1997-03-30,2,20.74,1997-03-01
53069,17559,1997-10-05,1,11.49,1997-10-01
53070,17559,1998-01-19,8,104.58,1998-01-01
53071,17559,1998-01-24,4,60.96,1998-01-01
53072,17560,1997-03-06,5,61.65,1997-03-01
53073,17560,1997-06-04,5,69.44,1997-06-01
53074,17560,1998-06-12,2,28.57,1998-06-01
53075,17561,1997-03-03,1,13.97,1997-03-01
53076,17562,1997-03-03,2,18.56,1997-03-01
53077,17563,1997-03-03,1,14.37,1997-03-01
53078,17564,1997-03-03,1,12.97,1997-03-01
53079,17565,1997-03-03,1,12.77,1997-03-01
53080,17566,1997-03-03,1,17.9,1997-03-01
53081,17567,1997-03-03,6,53.82,1997-03-01
53082,17567,1997-03-28,3,47.51,1997-03-01
53083,17568,1997-03-03,1,32.0,1997-03-01
53084,17569,1997-03-03,1,15.96,1997-03-01
53085,17569,1997-03-26,2,18.55,1997-03-01
53086,17569,1997-08-25,2,29.95,1997-08-01
53087,17570,1997-03-03,3,41.1,1997-03-01
53088,17570,1997-08-03,3,41.11,1997-08-01
53089,17571,1997-03-03,1,19.77,1997-03-01
53090,17571,1997-09-06,1,27.77,1997-09-01
53091,17572,1997-03-03,1,23.77,1997-03-01
53092,17572,1997-11-17,1,12.99,1997-11-01
53093,17573,1997-03-03,1,12.97,1997-03-01
53094,17574,1997-03-03,5,114.95,1997-03-01
53095,17574,1997-03-03,1,13.97,1997-03-01
53096,17574,1997-10-15,1,20.99,1997-10-01
53097,17574,1998-06-21,2,23.48,1998-06-01
53098,17575,1997-03-03,1,13.97,1997-03-01
53099,17575,1997-08-03,3,43.89,1997-08-01
53100,17575,1997-12-08,3,34.47,1997-12-01
53101,17575,1998-05-07,3,38.47,1998-05-01
53102,17576,1997-03-03,1,14.79,1997-03-01
53103,17577,1997-03-03,1,10.99,1997-03-01
53104,17578,1997-03-04,2,19.94,1997-03-01
53105,17578,1997-08-28,1,14.96,1997-08-01
53106,17578,1998-01-19,1,14.99,1998-01-01
53107,17579,1997-03-03,1,10.77,1997-03-01
53108,17579,1997-03-27,1,12.77,1997-03-01
53109,17579,1997-04-29,2,23.74,1997-04-01
53110,17579,1997-05-16,2,21.74,1997-05-01
53111,17579,1997-12-12,3,58.47,1997-12-01
53112,17580,1997-03-03,1,14.96,1997-03-01
53113,17581,1997-03-07,2,39.34,1997-03-01
53114,17582,1997-03-03,3,34.51,1997-03-01
53115,17583,1997-03-03,2,35.48,1997-03-01
53116,17584,1997-03-03,1,11.77,1997-03-01
53117,17584,1997-04-28,2,21.74,1997-04-01
53118,17585,1997-03-03,1,23.99,1997-03-01
53119,17585,1997-10-28,1,12.49,1997-10-01
